status,gap,time_s,objective_value,active_vars,instance,method,restrictions,CPLEX_settings
integer optimal solution,0.0,0.435,243.0,"{'x_1_23': 1.0, 'x_2_13': 1.0, 'x_3_24': 1.0, 'x_5_3': 1.0, 'x_6_12': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_5': 1.0, 'x_13_1': 1.0, 'x_14_22': 1.0, 'x_15_2': 1.0, 'x_18_11': 1.0, 'x_19_20': 1.0, 'x_20_18': 1.0, 'x_22_10': 1.0, 'x_23_9': 1.0, 'x_24_19': 1.0, 'bici_22_8': 1.0, 'bici_22_17': 1.0, 'auto_24_4': 1.0, 'auto_24_7': 1.0, 'auto_24_16': 1.0, 'auto_24_21': 1.0, 'auto_24_25': 1.0, 'y_bici_22': 1.0, 'y_auto_24': 1.0}",small_instance,Nuevo,Exclusivos=Enabled,{'ns0_hf1_cuts0_ps1'}
integer optimal solution,0.0,0.369,208.0,"{'x_1_23': 1.0, 'x_3_11': 1.0, 'x_5_3': 1.0, 'x_6_12': 1.0, 'x_8_1': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_5': 1.0, 'x_14_16': 1.0, 'x_15_22': 1.0, 'x_16_10': 1.0, 'x_17_8': 1.0, 'x_22_17': 1.0, 'x_23_9': 1.0, 'auto_11_18': 1.0, 'auto_11_19': 1.0, 'auto_11_21': 1.0, 'auto_11_24': 1.0, 'auto_11_25': 1.0, 'auto_14_2': 1.0, 'auto_14_4': 1.0, 'auto_14_7': 1.0, 'auto_14_13': 1.0, 'auto_14_20': 1.0, 'y_auto_11': 1.0, 'y_auto_14': 1.0}",small_instance,Nuevo,Refrigerados=Enabled,{'ns0_hf1_cuts0_ps1'}
integer optimal solution,0.0,0.32,208.0,"{'x_1_23': 1.0, 'x_3_11': 1.0, 'x_5_3': 1.0, 'x_6_12': 1.0, 'x_8_1': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_5': 1.0, 'x_14_16': 1.0, 'x_15_22': 1.0, 'x_16_10': 1.0, 'x_17_8': 1.0, 'x_22_17': 1.0, 'x_23_9': 1.0, 'auto_11_18': 1.0, 'auto_11_19': 1.0, 'auto_11_21': 1.0, 'auto_11_24': 1.0, 'auto_11_25': 1.0, 'auto_14_2': 1.0, 'auto_14_4': 1.0, 'auto_14_7': 1.0, 'auto_14_13': 1.0, 'auto_14_20': 1.0, 'y_auto_11': 1.0, 'y_auto_14': 1.0}",small_instance,Nuevo,Precedencia=Enabled,{'ns0_hf1_cuts0_ps1'}
integer optimal solution,0.0,0.454,266.0,"{'x_1_23': 1.0, 'x_2_13': 1.0, 'x_3_5': 1.0, 'x_5_12': 1.0, 'x_6_18': 1.0, 'x_9_19': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_6': 1.0, 'x_13_1': 1.0, 'x_14_22': 1.0, 'x_15_2': 1.0, 'x_18_11': 1.0, 'x_19_24': 1.0, 'x_22_10': 1.0, 'x_23_9': 1.0, 'x_24_3': 1.0, 'bici_13_16': 1.0, 'bici_13_21': 1.0, 'bici_22_8': 1.0, 'bici_22_17': 1.0, 'auto_6_4': 1.0, 'auto_6_7': 1.0, 'auto_6_20': 1.0, 'auto_6_25': 1.0, 'y_bici_13': 1.0, 'y_bici_22': 1.0, 'y_auto_6': 1.0}",small_instance,Nuevo,All,{'ns1_hfA_cuts1_ps1'}
integer optimal solution,0.0,0.383,250.0,"{'x_1_23': 1.0, 'x_2_13': 1.0, 'x_3_5': 1.0, 'x_5_12': 1.0, 'x_6_18': 1.0, 'x_9_19': 1.0, 'x_10_22': 1.0, 'x_11_14': 1.0, 'x_12_6': 1.0, 'x_13_1': 1.0, 'x_14_16': 1.0, 'x_15_2': 1.0, 'x_16_10': 1.0, 'x_18_11': 1.0, 'x_19_24': 1.0, 'x_22_15': 1.0, 'x_23_9': 1.0, 'x_24_3': 1.0, 'bici_11_4': 1.0, 'bici_11_21': 1.0, 'auto_18_7': 1.0, 'auto_18_8': 1.0, 'auto_18_17': 1.0, 'auto_18_20': 1.0, 'auto_18_25': 1.0, 'y_bici_11': 1.0, 'y_auto_18': 1.0}",small_instance,Nuevo,Min_No_Camion=False,{'ns1_hfA_cuts1_ps1'}
integer optimal solution,0.0,0.317,208.0,"{'x_1_23': 1.0, 'x_3_11': 1.0, 'x_5_3': 1.0, 'x_6_12': 1.0, 'x_8_1': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_5': 1.0, 'x_14_16': 1.0, 'x_15_22': 1.0, 'x_16_10': 1.0, 'x_17_8': 1.0, 'x_22_17': 1.0, 'x_23_9': 1.0, 'auto_14_2': 1.0, 'auto_14_7': 1.0, 'auto_14_13': 1.0, 'auto_14_20': 1.0, 'auto_14_24': 1.0, 'auto_15_4': 1.0, 'auto_15_18': 1.0, 'auto_15_19': 1.0, 'auto_15_21': 1.0, 'auto_15_25': 1.0, 'y_auto_14': 1.0, 'y_auto_15': 1.0}",small_instance,Nuevo,Exclusivos=Disabled,{'ns1_hfA_cuts1_ps1'}
integer optimal solution,0.0,0.438,266.0,"{'x_1_23': 1.0, 'x_2_13': 1.0, 'x_3_5': 1.0, 'x_5_12': 1.0, 'x_6_18': 1.0, 'x_9_19': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_6': 1.0, 'x_13_1': 1.0, 'x_14_22': 1.0, 'x_15_2': 1.0, 'x_18_11': 1.0, 'x_19_24': 1.0, 'x_22_10': 1.0, 'x_23_9': 1.0, 'x_24_3': 1.0, 'bici_13_16': 1.0, 'bici_13_21': 1.0, 'bici_22_8': 1.0, 'bici_22_17': 1.0, 'auto_6_4': 1.0, 'auto_6_7': 1.0, 'auto_6_20': 1.0, 'auto_6_25': 1.0, 'y_bici_13': 1.0, 'y_bici_22': 1.0, 'y_auto_6': 1.0}",small_instance,Nuevo,Refrigerados=Disabled,{'ns1_hfA_cuts1_ps1'}
integer optimal solution,0.0,0.278,258.0,"{'x_1_23': 1.0, 'x_2_13': 1.0, 'x_3_18': 1.0, 'x_6_12': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_19': 1.0, 'x_13_1': 1.0, 'x_14_22': 1.0, 'x_15_2': 1.0, 'x_18_11': 1.0, 'x_19_24': 1.0, 'x_22_10': 1.0, 'x_23_9': 1.0, 'x_24_3': 1.0, 'bici_13_16': 1.0, 'bici_13_21': 1.0, 'bici_22_8': 1.0, 'bici_22_17': 1.0, 'auto_6_4': 1.0, 'auto_6_5': 1.0, 'auto_6_7': 1.0, 'auto_6_20': 1.0, 'auto_6_25': 1.0, 'y_bici_13': 1.0, 'y_bici_22': 1.0, 'y_auto_6': 1.0}",small_instance,Nuevo,Precedencia=Disabled,{'ns1_hfA_cuts1_ps1'}
integer optimal solution,0.0,0.212,243.0,"{'x_1_23': 1.0, 'x_2_13': 1.0, 'x_3_24': 1.0, 'x_5_3': 1.0, 'x_6_12': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_5': 1.0, 'x_13_1': 1.0, 'x_14_22': 1.0, 'x_15_2': 1.0, 'x_18_11': 1.0, 'x_19_20': 1.0, 'x_20_18': 1.0, 'x_22_10': 1.0, 'x_23_9': 1.0, 'x_24_19': 1.0, 'bici_22_8': 1.0, 'bici_22_17': 1.0, 'auto_24_4': 1.0, 'auto_24_7': 1.0, 'auto_24_16': 1.0, 'auto_24_21': 1.0, 'auto_24_25': 1.0, 'y_bici_22': 1.0, 'y_auto_24': 1.0}",small_instance,Nuevo,"Min_No_Camion=Disabled, Max_Bicis=12, Max_Autos=6",{'ns1_hfA_cuts1_ps1'}
integer optimal solution,0.0,0.344,208.0,"{'x_1_23': 1.0, 'x_3_11': 1.0, 'x_5_3': 1.0, 'x_6_12': 1.0, 'x_8_1': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_5': 1.0, 'x_14_16': 1.0, 'x_15_22': 1.0, 'x_16_10': 1.0, 'x_17_8': 1.0, 'x_22_17': 1.0, 'x_23_9': 1.0, 'auto_14_2': 1.0, 'auto_14_7': 1.0, 'auto_14_13': 1.0, 'auto_14_20': 1.0, 'auto_14_24': 1.0, 'auto_15_4': 1.0, 'auto_15_18': 1.0, 'auto_15_19': 1.0, 'auto_15_21': 1.0, 'auto_15_25': 1.0, 'y_auto_14': 1.0, 'y_auto_15': 1.0}",small_instance,Nuevo,All restrictions disabled,{'ns1_hfA_cuts1_ps1'}
integer optimal solution,0.0,0.245,243.0,"{'x_1_23': 1.0, 'x_2_13': 1.0, 'x_3_24': 1.0, 'x_5_3': 1.0, 'x_6_12': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_5': 1.0, 'x_13_1': 1.0, 'x_14_22': 1.0, 'x_15_2': 1.0, 'x_18_11': 1.0, 'x_19_20': 1.0, 'x_20_18': 1.0, 'x_22_10': 1.0, 'x_23_9': 1.0, 'x_24_19': 1.0, 'bici_22_8': 1.0, 'bici_22_17': 1.0, 'auto_24_4': 1.0, 'auto_24_7': 1.0, 'auto_24_16': 1.0, 'auto_24_21': 1.0, 'auto_24_25': 1.0, 'y_bici_22': 1.0, 'y_auto_24': 1.0}",small_instance,Nuevo,Exclusivos=Enabled,{'ns1_hfA_cuts1_ps1'}
integer optimal solution,0.0,0.307,208.0,"{'x_1_23': 1.0, 'x_3_11': 1.0, 'x_5_3': 1.0, 'x_6_12': 1.0, 'x_8_1': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_5': 1.0, 'x_14_16': 1.0, 'x_15_22': 1.0, 'x_16_10': 1.0, 'x_17_8': 1.0, 'x_22_17': 1.0, 'x_23_9': 1.0, 'auto_14_2': 1.0, 'auto_14_7': 1.0, 'auto_14_13': 1.0, 'auto_14_20': 1.0, 'auto_14_24': 1.0, 'auto_15_4': 1.0, 'auto_15_18': 1.0, 'auto_15_19': 1.0, 'auto_15_21': 1.0, 'auto_15_25': 1.0, 'y_auto_14': 1.0, 'y_auto_15': 1.0}",small_instance,Nuevo,Refrigerados=Enabled,{'ns1_hfA_cuts1_ps1'}
integer optimal solution,0.0,0.346,208.0,"{'x_1_23': 1.0, 'x_3_11': 1.0, 'x_5_3': 1.0, 'x_6_12': 1.0, 'x_8_1': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_5': 1.0, 'x_14_16': 1.0, 'x_15_22': 1.0, 'x_16_10': 1.0, 'x_17_8': 1.0, 'x_22_17': 1.0, 'x_23_9': 1.0, 'auto_14_2': 1.0, 'auto_14_4': 1.0, 'auto_14_7': 1.0, 'auto_14_13': 1.0, 'auto_14_24': 1.0, 'auto_15_18': 1.0, 'auto_15_19': 1.0, 'auto_15_20': 1.0, 'auto_15_21': 1.0, 'auto_15_25': 1.0, 'y_auto_14': 1.0, 'y_auto_15': 1.0}",small_instance,Nuevo,Precedencia=Enabled,{'ns1_hfA_cuts1_ps1'}
integer optimal solution,0.0,0.381,266.0,"{'x_1_23': 1.0, 'x_2_13': 1.0, 'x_3_5': 1.0, 'x_5_12': 1.0, 'x_6_18': 1.0, 'x_9_19': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_6': 1.0, 'x_13_1': 1.0, 'x_14_22': 1.0, 'x_15_2': 1.0, 'x_18_11': 1.0, 'x_19_24': 1.0, 'x_22_10': 1.0, 'x_23_9': 1.0, 'x_24_3': 1.0, 'bici_19_20': 1.0, 'bici_22_8': 1.0, 'bici_22_17': 1.0, 'auto_24_4': 1.0, 'auto_24_7': 1.0, 'auto_24_16': 1.0, 'auto_24_21': 1.0, 'auto_24_25': 1.0, 'y_bici_19': 1.0, 'y_bici_22': 1.0, 'y_auto_24': 1.0}",small_instance,Nuevo,All,{'ns2_hf5_cuts1_ps1'}
integer optimal solution,0.0,0.44,250.0,"{'x_1_23': 1.0, 'x_2_13': 1.0, 'x_3_5': 1.0, 'x_5_12': 1.0, 'x_6_18': 1.0, 'x_9_19': 1.0, 'x_10_22': 1.0, 'x_11_14': 1.0, 'x_12_6': 1.0, 'x_13_1': 1.0, 'x_14_16': 1.0, 'x_15_2': 1.0, 'x_16_10': 1.0, 'x_18_11': 1.0, 'x_19_24': 1.0, 'x_22_15': 1.0, 'x_23_9': 1.0, 'x_24_3': 1.0, 'bici_11_4': 1.0, 'bici_11_21': 1.0, 'auto_18_7': 1.0, 'auto_18_8': 1.0, 'auto_18_17': 1.0, 'auto_18_20': 1.0, 'auto_18_25': 1.0, 'y_bici_11': 1.0, 'y_auto_18': 1.0}",small_instance,Nuevo,Min_No_Camion=False,{'ns2_hf5_cuts1_ps1'}
integer optimal solution,0.0,0.346,208.0,"{'x_1_23': 1.0, 'x_3_11': 1.0, 'x_5_3': 1.0, 'x_6_12': 1.0, 'x_8_1': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_5': 1.0, 'x_14_16': 1.0, 'x_15_22': 1.0, 'x_16_10': 1.0, 'x_17_8': 1.0, 'x_22_17': 1.0, 'x_23_9': 1.0, 'auto_11_18': 1.0, 'auto_11_19': 1.0, 'auto_11_21': 1.0, 'auto_11_24': 1.0, 'auto_11_25': 1.0, 'auto_14_2': 1.0, 'auto_14_4': 1.0, 'auto_14_7': 1.0, 'auto_14_13': 1.0, 'auto_14_20': 1.0, 'y_auto_11': 1.0, 'y_auto_14': 1.0}",small_instance,Nuevo,Exclusivos=Disabled,{'ns2_hf5_cuts1_ps1'}
integer optimal solution,0.0,0.339,266.0,"{'x_1_23': 1.0, 'x_2_13': 1.0, 'x_3_5': 1.0, 'x_5_12': 1.0, 'x_6_18': 1.0, 'x_9_19': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_6': 1.0, 'x_13_1': 1.0, 'x_14_22': 1.0, 'x_15_2': 1.0, 'x_18_11': 1.0, 'x_19_24': 1.0, 'x_22_10': 1.0, 'x_23_9': 1.0, 'x_24_3': 1.0, 'bici_19_20': 1.0, 'bici_22_8': 1.0, 'bici_22_17': 1.0, 'auto_24_4': 1.0, 'auto_24_7': 1.0, 'auto_24_16': 1.0, 'auto_24_21': 1.0, 'auto_24_25': 1.0, 'y_bici_19': 1.0, 'y_bici_22': 1.0, 'y_auto_24': 1.0}",small_instance,Nuevo,Refrigerados=Disabled,{'ns2_hf5_cuts1_ps1'}
integer optimal solution,0.0,0.289,258.0,"{'x_1_23': 1.0, 'x_2_13': 1.0, 'x_3_18': 1.0, 'x_6_12': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_19': 1.0, 'x_13_1': 1.0, 'x_14_22': 1.0, 'x_15_2': 1.0, 'x_18_11': 1.0, 'x_19_24': 1.0, 'x_22_10': 1.0, 'x_23_9': 1.0, 'x_24_3': 1.0, 'bici_13_16': 1.0, 'bici_13_21': 1.0, 'bici_22_8': 1.0, 'bici_22_17': 1.0, 'auto_6_4': 1.0, 'auto_6_5': 1.0, 'auto_6_7': 1.0, 'auto_6_20': 1.0, 'auto_6_25': 1.0, 'y_bici_13': 1.0, 'y_bici_22': 1.0, 'y_auto_6': 1.0}",small_instance,Nuevo,Precedencia=Disabled,{'ns2_hf5_cuts1_ps1'}
integer optimal solution,0.0,0.256,243.0,"{'x_1_23': 1.0, 'x_2_13': 1.0, 'x_3_24': 1.0, 'x_5_3': 1.0, 'x_6_12': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_5': 1.0, 'x_13_1': 1.0, 'x_14_22': 1.0, 'x_15_2': 1.0, 'x_18_11': 1.0, 'x_19_20': 1.0, 'x_20_18': 1.0, 'x_22_10': 1.0, 'x_23_9': 1.0, 'x_24_19': 1.0, 'bici_22_8': 1.0, 'bici_22_17': 1.0, 'auto_24_4': 1.0, 'auto_24_7': 1.0, 'auto_24_16': 1.0, 'auto_24_21': 1.0, 'auto_24_25': 1.0, 'y_bici_22': 1.0, 'y_auto_24': 1.0}",small_instance,Nuevo,"Min_No_Camion=Disabled, Max_Bicis=12, Max_Autos=6",{'ns2_hf5_cuts1_ps1'}
integer optimal solution,0.0,0.323,208.0,"{'x_1_23': 1.0, 'x_3_11': 1.0, 'x_5_3': 1.0, 'x_6_12': 1.0, 'x_8_1': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_5': 1.0, 'x_14_16': 1.0, 'x_15_22': 1.0, 'x_16_10': 1.0, 'x_17_8': 1.0, 'x_22_17': 1.0, 'x_23_9': 1.0, 'auto_11_2': 1.0, 'auto_11_18': 1.0, 'auto_11_19': 1.0, 'auto_11_21': 1.0, 'auto_11_25': 1.0, 'auto_14_4': 1.0, 'auto_14_7': 1.0, 'auto_14_13': 1.0, 'auto_14_20': 1.0, 'auto_14_24': 1.0, 'y_auto_11': 1.0, 'y_auto_14': 1.0}",small_instance,Nuevo,All restrictions disabled,{'ns2_hf5_cuts1_ps1'}
integer optimal solution,0.0,0.265,243.0,"{'x_1_23': 1.0, 'x_2_13': 1.0, 'x_3_24': 1.0, 'x_5_3': 1.0, 'x_6_12': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_5': 1.0, 'x_13_1': 1.0, 'x_14_22': 1.0, 'x_15_2': 1.0, 'x_18_11': 1.0, 'x_19_20': 1.0, 'x_20_18': 1.0, 'x_22_10': 1.0, 'x_23_9': 1.0, 'x_24_19': 1.0, 'bici_22_8': 1.0, 'bici_22_17': 1.0, 'auto_24_4': 1.0, 'auto_24_7': 1.0, 'auto_24_16': 1.0, 'auto_24_21': 1.0, 'auto_24_25': 1.0, 'y_bici_22': 1.0, 'y_auto_24': 1.0}",small_instance,Nuevo,Exclusivos=Enabled,{'ns2_hf5_cuts1_ps1'}
integer optimal solution,0.0,0.309,208.0,"{'x_1_23': 1.0, 'x_3_11': 1.0, 'x_5_3': 1.0, 'x_6_12': 1.0, 'x_8_1': 1.0, 'x_9_6': 1.0, 'x_10_15': 1.0, 'x_11_14': 1.0, 'x_12_5': 1.0, 'x_14_16': 1.0, 'x_15_22': 1.0, 'x_16_10': 1.0, 'x_17_8': 1.0, 'x_22_17': 1.0, 'x_23_9': 1.0, 'auto_11_2': 1.0, 'auto_11_18': 1.0, 'auto_11_19': 1.0, 'auto_11_21': 1.0, 'auto_11_25': 1.0, 'auto_14_4': 1.0, 'auto_14_7': 1.0, 'auto_14_13': 1.0, 'auto_14_20': 1.0, 'auto_14_24': 1.0, 'y_auto_11': 1.0, 'y_auto_14': 1.0}",small_instance,Nuevo,Refrigerados=Enabled,{'ns2_hf5_cuts1_ps1'}
